City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Georgetown,MY,2021-05-14 19:14:00,5.4112,100.3354,82.0,89,40,6.91
60,Tilichiki,RU,2021-05-14 19:14:01,60.4667,166.1,23.5,85,11,5.21
61,Saint-Philippe,RE,2021-05-14 19:14:02,-21.3585,55.7679,75.2,78,0,4.61
62,Severo-Kurilsk,RU,2021-05-14 19:14:02,50.6789,156.125,38.16,68,0,5.73
63,Hambantota,LK,2021-05-14 19:14:03,6.1241,81.1185,80.69,76,97,13.56
64,Airai,TL,2021-05-14 19:14:03,-8.9266,125.4092,55.62,80,100,3.24
65,Saskylakh,RU,2021-05-14 19:14:03,71.9167,114.0833,29.23,97,100,11.97
66,Bundaberg,AU,2021-05-14 19:14:04,-24.85,152.35,55.99,71,14,5.75
67,Harper,LR,2021-05-14 19:14:04,4.375,-7.7169,80.37,84,29,9.01
68,Parauna,BR,2021-05-14 19:14:05,-16.9478,-50.4486,82.67,34,5,0.54
69,East London,ZA,2021-05-14 19:14:05,-33.0153,27.9116,75.2,38,0,6.91
70,Margate,GB,2021-05-14 19:14:05,51.3813,1.3862,52.0,70,19,6.17
71,Carleton Place,CA,2021-05-14 19:14:06,45.1334,-76.1494,73.99,33,93,1.99
72,Sao Jose Da Coroa Grande,BR,2021-05-14 19:14:06,-8.8978,-35.1478,78.76,82,99,10.22
73,Bousse,BF,2021-05-14 19:14:06,12.6606,-1.8922,102.2,27,20,9.22
74,Kapaa,US,2021-05-14 19:14:07,22.0752,-159.319,78.8,65,1,17.27
75,Santa Isabel Do Rio Negro,BR,2021-05-14 19:14:07,-0.4139,-65.0192,82.53,81,34,4.47
76,Luangwa,ZM,2021-05-14 19:14:08,-15.6167,30.4167,68.05,62,0,1.61
77,Filadelfia,US,2021-05-14 19:11:46,39.9523,-75.1638,75.99,20,40,6.91
78,Sosua,DO,2021-05-14 19:14:08,19.7667,-70.5167,91.4,58,20,18.41
79,Resistencia,AR,2021-05-14 19:14:09,-27.4606,-58.9839,78.01,50,40,6.91
80,Chuy,UY,2021-05-14 19:14:09,-33.6971,-53.4616,64.27,50,12,3.42
81,Tasiilaq,GL,2021-05-14 19:14:10,65.6145,-37.6368,32.0,80,1,6.91
82,Thinadhoo,MV,2021-05-14 19:14:10,0.5333,72.9333,81.9,80,100,17.11
83,Baneh,IR,2021-05-14 19:14:11,35.9975,45.8853,59.29,51,0,8.16
84,Narsaq,GL,2021-05-14 19:14:11,60.9167,-46.05,50.0,22,40,6.91
85,Cockburn Town,TC,2021-05-14 19:14:11,21.4612,-71.1419,79.81,76,3,12.93
86,Virginia Beach,US,2021-05-14 19:11:56,36.8529,-75.978,73.4,28,20,8.05
